source,target,weight,phase,type,sync_component
217_2013,27_2013,24.0,2013,sync,-1
217_2013,252_2013,9.0,2013,sync,-1
249_2013,29_2013,58.0,2013,sync,-1
249_2013,92_2013,40.0,2013,sync,-1
249_2013,25_2013,31.0,2013,sync,-1
249_2013,51_2013,14.0,2013,sync,-1
149_2013,249_2013,17.0,2013,sync,-1
252_2013,51_2013,15.0,2013,sync,-1
0_2015,2_2015,12.0,2015,sync,-1
2_2015,33_2015,42.0,2015,sync,-1
13_2015,2_2015,23.0,2015,sync,-1
13_2015,50_2015,23.0,2015,sync,-1
26_2015,33_2015,49.0,2015,sync,-1
0_2015,26_2015,12.0,2015,sync,-1
26_2015,81_2015,26.0,2015,sync,-1
26_2015,2_2015,12.0,2015,sync,-1
250_2015,26_2015,41.0,2015,sync,-1
0_2015,33_2015,85.0,2015,sync,-1
0_2015,50_2015,38.0,2015,sync,-1
211_2015,50_2015,8.0,2015,sync,-1
33_2015,61_2015,45.0,2015,sync,-1
2_2015,61_2015,26.0,2015,sync,-1
61_2015,99_2015,9.0,2015,sync,-1
181_2015,61_2015,13.0,2015,sync,-1
203_2015,70_2015,18.0,2015,sync,-1
33_2015,70_2015,52.0,2015,sync,-1
26_2015,70_2015,17.0,2015,sync,-1
33_2015,81_2015,36.0,2015,sync,-1
138_2015,81_2015,9.0,2015,sync,-1
81_2015,84_2015,11.0,2015,sync,-1
211_2015,84_2015,7.0,2015,sync,-1
84_2015,99_2015,15.0,2015,sync,-1
2_2015,84_2015,12.0,2015,sync,-1
13_2015,99_2015,6.0,2015,sync,-1
50_2015,99_2015,11.0,2015,sync,-1
138_2015,99_2015,14.0,2015,sync,-1
2_2015,99_2015,16.0,2015,sync,-1
138_2015,50_2015,13.0,2015,sync,-1
138_2015,33_2015,53.0,2015,sync,-1
176_2015,33_2015,153.0,2015,sync,-1
176_2015,2_2015,32.0,2015,sync,-1
176_2015,26_2015,22.0,2015,sync,-1
181_2015,33_2015,55.0,2015,sync,-1
181_2015,26_2015,53.0,2015,sync,-1
181_2015,70_2015,15.0,2015,sync,-1
0_2015,195_2015,18.0,2015,sync,-1
195_2015,2_2015,15.0,2015,sync,-1
195_2015,70_2015,13.0,2015,sync,-1
203_2015,99_2015,19.0,2015,sync,-1
203_2015,33_2015,58.0,2015,sync,-1
203_2015,50_2015,15.0,2015,sync,-1
211_2015,2_2015,32.0,2015,sync,-1
211_2015,99_2015,24.0,2015,sync,-1
13_2015,250_2015,6.0,2015,sync,-1
250_2015,33_2015,43.0,2015,sync,-1
250_2015,2_2015,16.0,2015,sync,-1
170_2017,2_2017,14.0,2017,sync,-1
248_2017,6_2017,10.0,2017,sync,-1
2_2017,6_2017,38.0,2017,sync,-1
21_2017,47_2017,48.0,2017,sync,-1
21_2017,84_2017,10.0,2017,sync,-1
170_2017,21_2017,15.0,2017,sync,-1
31_2017,6_2017,13.0,2017,sync,-1
31_2017,74_2017,23.0,2017,sync,-1
171_2017,31_2017,73.0,2017,sync,-1
47_2017,84_2017,38.0,2017,sync,-1
2_2017,47_2017,24.0,2017,sync,-1
2_2017,74_2017,12.0,2017,sync,-1
74_2017,84_2017,16.0,2017,sync,-1
6_2017,74_2017,58.0,2017,sync,-1
6_2017,84_2017,37.0,2017,sync,-1
248_2017,97_2017,35.0,2017,sync,-1
2_2017,97_2017,23.0,2017,sync,-1
162_2017,97_2017,11.0,2017,sync,-1
216_2017,97_2017,23.0,2017,sync,-1
102_2017,2_2017,40.0,2017,sync,-1
102_2017,84_2017,23.0,2017,sync,-1
102_2017,216_2017,73.0,2017,sync,-1
102_2017,170_2017,27.0,2017,sync,-1
102_2017,143_2017,12.0,2017,sync,-1
139_2017,31_2017,28.0,2017,sync,-1
139_2017,143_2017,6.0,2017,sync,-1
143_2017,2_2017,15.0,2017,sync,-1
150_2017,2_2017,27.0,2017,sync,-1
150_2017,31_2017,18.0,2017,sync,-1
150_2017,216_2017,30.0,2017,sync,-1
150_2017,84_2017,25.0,2017,sync,-1
150_2017,162_2017,19.0,2017,sync,-1
139_2017,162_2017,14.0,2017,sync,-1
162_2017,216_2017,20.0,2017,sync,-1
162_2017,31_2017,19.0,2017,sync,-1
162_2017,170_2017,51.0,2017,sync,-1
170_2017,248_2017,11.0,2017,sync,-1
170_2017,171_2017,11.0,2017,sync,-1
143_2017,170_2017,17.0,2017,sync,-1
171_2017,84_2017,34.0,2017,sync,-1
171_2017,74_2017,43.0,2017,sync,-1
171_2017,2_2017,24.0,2017,sync,-1
211_2017,2_2017,13.0,2017,sync,-1
211_2017,84_2017,16.0,2017,sync,-1
211_2017,248_2017,26.0,2017,sync,-1
162_2017,211_2017,10.0,2017,sync,-1
216_2017,84_2017,19.0,2017,sync,-1
216_2017,74_2017,35.0,2017,sync,-1
171_2017,216_2017,45.0,2017,sync,-1
216_2017,31_2017,27.0,2017,sync,-1
170_2017,216_2017,33.0,2017,sync,-1
216_2017,6_2017,78.0,2017,sync,-1
102_2017,248_2017,16.0,2017,sync,-1
2_2019,4_2019,22.0,2019,sync,-1
1_2019,4_2019,25.0,2019,sync,-1
25_2019,81_2019,18.0,2019,sync,-1
25_2019,2_2019,44.0,2019,sync,-1
25_2019,72_2019,28.0,2019,sync,-1
32_2019,85_2019,16.0,2019,sync,-1
32_2019,81_2019,29.0,2019,sync,-1
32_2019,4_2019,21.0,2019,sync,-1
32_2019,72_2019,14.0,2019,sync,-1
25_2019,32_2019,18.0,2019,sync,-1
204_2019,32_2019,45.0,2019,sync,-1
118_2019,32_2019,31.0,2019,sync,-1
25_2019,54_2019,22.0,2019,sync,-1
54_2019,77_2019,47.0,2019,sync,-1
4_2019,54_2019,15.0,2019,sync,-1
54_2019,81_2019,16.0,2019,sync,-1
204_2019,54_2019,25.0,2019,sync,-1
118_2019,54_2019,25.0,2019,sync,-1
2_2019,54_2019,38.0,2019,sync,-1
12_2019,54_2019,15.0,2019,sync,-1
1_2019,72_2019,12.0,2019,sync,-1
4_2019,72_2019,32.0,2019,sync,-1
4_2019,77_2019,38.0,2019,sync,-1
1_2019,77_2019,10.0,2019,sync,-1
77_2019,99_2019,23.0,2019,sync,-1
25_2019,77_2019,55.0,2019,sync,-1
77_2019,81_2019,12.0,2019,sync,-1
4_2019,81_2019,13.0,2019,sync,-1
1_2019,81_2019,37.0,2019,sync,-1
25_2019,85_2019,40.0,2019,sync,-1
118_2019,85_2019,60.0,2019,sync,-1
4_2019,85_2019,17.0,2019,sync,-1
204_2019,85_2019,14.0,2019,sync,-1
12_2019,99_2019,12.0,2019,sync,-1
118_2019,4_2019,18.0,2019,sync,-1
118_2019,25_2019,35.0,2019,sync,-1
118_2019,1_2019,19.0,2019,sync,-1
118_2019,2_2019,44.0,2019,sync,-1
118_2019,204_2019,40.0,2019,sync,-1
134_2019,81_2019,44.0,2019,sync,-1
134_2019,25_2019,33.0,2019,sync,-1
134_2019,4_2019,32.0,2019,sync,-1
151_2019,4_2019,28.0,2019,sync,-1
151_2019,99_2019,14.0,2019,sync,-1
151_2019,54_2019,19.0,2019,sync,-1
156_2019,4_2019,16.0,2019,sync,-1
156_2019,25_2019,26.0,2019,sync,-1
118_2019,156_2019,21.0,2019,sync,-1
191_2019,4_2019,18.0,2019,sync,-1
191_2019,2_2019,11.0,2019,sync,-1
191_2019,99_2019,8.0,2019,sync,-1
204_2019,4_2019,13.0,2019,sync,-1
204_2019,25_2019,24.0,2019,sync,-1
204_2019,2_2019,35.0,2019,sync,-1
12_2019,204_2019,12.0,2019,sync,-1
204_2019,77_2019,54.0,2019,sync,-1
204_2019,81_2019,23.0,2019,sync,-1
204_2019,72_2019,64.0,2019,sync,-1
2_1997,10_1999,0.25,1997,diac,0
14_1997,7_1999,0.13333333333333333,1997,diac,0
7_1999,63_2001,0.125,1999,diac,0
10_1999,49_2001,0.25,1999,diac,0
10_1999,2_2001,0.5,1999,diac,0
16_1999,49_2001,0.11764705882352941,1999,diac,0
49_2001,65_2003,0.3333333333333333,2001,diac,0
49_2001,54_2003,0.25,2001,diac,0
49_2001,48_2003,0.2,2001,diac,0
31_2001,108_2003,0.15789473684210525,2001,diac,0
18_2001,47_2003,0.1111111111111111,2001,diac,1
63_2001,143_2003,0.2,2001,diac,0
63_2001,26_2003,0.14285714285714285,2001,diac,0
58_2001,83_2003,0.10526315789473684,2001,diac,2
58_2001,67_2003,0.18181818181818182,2001,diac,2
2_2001,54_2003,0.5,2001,diac,0
65_2003,169_2005,0.25,2003,diac,0
54_2003,12_2005,0.5,2003,diac,0
40_2003,19_2005,0.10526315789473684,2003,diac,3
122_2003,144_2005,0.2,2003,diac,0
26_2003,85_2005,0.3333333333333333,2003,diac,0
48_2003,12_2005,0.16666666666666666,2003,diac,0
48_2003,144_2005,0.2,2003,diac,0
140_2003,85_2005,0.14285714285714285,2003,diac,0
114_2003,144_2005,0.16666666666666666,2003,diac,0
81_2003,110_2005,0.125,2003,diac,0
108_2003,110_2005,0.13333333333333333,2003,diac,0
12_2005,1_2007,0.5,2005,diac,0
12_2005,82_2007,0.2857142857142857,2005,diac,0
169_2005,73_2007,0.16666666666666666,2005,diac,0
104_2005,41_2007,0.1111111111111111,2005,diac,4
110_2005,71_2007,0.1,2005,diac,0
144_2005,198_2007,0.2,2005,diac,0
144_2005,82_2007,0.14285714285714285,2005,diac,0
144_2005,21_2007,0.3333333333333333,2005,diac,0
59_2005,16_2007,0.1111111111111111,2005,diac,5
85_2005,198_2007,0.2,2005,diac,0
85_2005,73_2007,0.2,2005,diac,0
82_2005,58_2007,0.2,2005,diac,0
1_2007,3_2009,0.6666666666666666,2007,diac,0
198_2007,17_2009,0.2,2007,diac,0
198_2007,156_2009,0.125,2007,diac,0
82_2007,17_2009,0.14285714285714285,2007,diac,0
82_2007,25_2009,0.2857142857142857,2007,diac,0
133_2007,120_2009,0.16666666666666666,2007,diac,0
133_2007,58_2009,0.1,2007,diac,0
21_2007,3_2009,0.3333333333333333,2007,diac,0
71_2007,156_2009,0.1111111111111111,2007,diac,0
73_2007,156_2009,0.125,2007,diac,0
73_2007,58_2009,0.1111111111111111,2007,diac,0
73_2007,25_2009,0.16666666666666666,2007,diac,0
196_2007,115_2009,0.13333333333333333,2007,diac,6
116_2007,58_2009,0.15384615384615385,2007,diac,0
58_2007,58_2009,0.1111111111111111,2007,diac,0
3_2009,6_2011,0.5,2009,diac,0
17_2009,222_2011,0.3333333333333333,2009,diac,0
156_2009,42_2011,0.3333333333333333,2009,diac,0
120_2009,139_2011,0.15384615384615385,2009,diac,0
58_2009,224_2011,0.1,2009,diac,0
25_2009,42_2011,0.1111111111111111,2009,diac,0
25_2009,13_2011,0.2857142857142857,2009,diac,0
60_2009,192_2011,0.16,2009,diac,0
99_2009,165_2011,0.10714285714285714,2009,diac,7
115_2009,112_2011,0.16,2009,diac,6
142_2009,224_2011,0.16,2009,diac,0
6_2011,29_2013,0.5,2011,diac,0
6_2011,1_2013,0.125,2011,diac,0
247_2011,27_2013,0.1,2011,diac,8
222_2011,217_2013,0.125,2011,diac,0
222_2011,92_2013,0.2857142857142857,2011,diac,0
42_2011,51_2013,0.125,2011,diac,0
42_2011,25_2013,0.42857142857142855,2011,diac,0
13_2011,51_2013,0.14285714285714285,2011,diac,0
